dataset,file,run,time_seconds
categorical,s10_n2,1,.429792000
categorical,s10_n2,2,.415666000
categorical,s10_n2,3,.416201000
categorical,s10_n2,4,.417195000
categorical,s10_n2,5,.415689000
categorical,s10_n4,1,.416653000
categorical,s10_n4,2,.416522000
categorical,s10_n4,3,.415431000
categorical,s10_n4,4,.415516000
categorical,s10_n4,5,.418286000
categorical,s10_n6,1,.418536000
categorical,s10_n6,2,.414456000
categorical,s10_n6,3,.420180000
categorical,s10_n6,4,.418739000
categorical,s10_n6,5,.416568000
categorical,s10_n8,1,.446096000
categorical,s10_n8,2,.428968000
categorical,s10_n8,3,.415852000
categorical,s10_n8,4,.417499000
categorical,s10_n8,5,.421847000
categorical,s15_n12,1,.419863000
categorical,s15_n12,2,.418758000
categorical,s15_n12,3,.419145000
categorical,s15_n12,4,.418845000
categorical,s15_n12,5,.419024000
categorical,s15_n3,1,.420517000
categorical,s15_n3,2,.417947000
categorical,s15_n3,3,.418306000
categorical,s15_n3,4,.418164000
categorical,s15_n3,5,.418636000
categorical,s15_n6,1,.418454000
categorical,s15_n6,2,.419137000
categorical,s15_n6,3,.419176000
categorical,s15_n6,4,.416802000
categorical,s15_n6,5,.420205000
categorical,s15_n9,1,.421232000
categorical,s15_n9,2,.420117000
categorical,s15_n9,3,.431706000
categorical,s15_n9,4,.452955000
categorical,s15_n9,5,.419317000
categorical,s20_n12,1,.422398000
categorical,s20_n12,2,.422353000
categorical,s20_n12,3,.424624000
categorical,s20_n12,4,.423107000
categorical,s20_n12,5,.424717000
categorical,s20_n16,1,.423205000
categorical,s20_n16,2,.420078000
categorical,s20_n16,3,.421526000
categorical,s20_n16,4,.421263000
categorical,s20_n16,5,.428794000
categorical,s20_n4,1,.434193000
categorical,s20_n4,2,.422350000
categorical,s20_n4,3,.421149000
categorical,s20_n4,4,.421383000
categorical,s20_n4,5,.427040000
categorical,s20_n8,1,.421789000
categorical,s20_n8,2,.423323000
categorical,s20_n8,3,.420729000
categorical,s20_n8,4,.421898000
categorical,s20_n8,5,.520824000
categorical,s5_n1,1,.448788000
categorical,s5_n1,2,.438012000
categorical,s5_n1,3,.432620000
categorical,s5_n1,4,.414608000
categorical,s5_n1,5,.417835000
categorical,s5_n2,1,.433503000
categorical,s5_n2,2,.415480000
categorical,s5_n2,3,.418521000
categorical,s5_n2,4,.415467000
categorical,s5_n2,5,.413180000
categorical,s5_n3,1,.416278000
categorical,s5_n3,2,.413126000
categorical,s5_n3,3,.413599000
categorical,s5_n3,4,.413081000
categorical,s5_n3,5,.411604000
