dataset,file,run,time_seconds
categorical,s10_n2,1,.620006000
categorical,s10_n2,2,.472390000
categorical,s10_n2,3,.462843000
categorical,s10_n2,4,.455361000
categorical,s10_n2,5,.452932000
categorical,s10_n4,1,.458901000
categorical,s10_n4,2,.455559000
categorical,s10_n4,3,.470697000
categorical,s10_n4,4,.490151000
categorical,s10_n4,5,.457649000
categorical,s10_n6,1,.459309000
categorical,s10_n6,2,.468190000
categorical,s10_n6,3,.466590000
categorical,s10_n6,4,.455899000
categorical,s10_n6,5,.463388000
categorical,s10_n8,1,.466531000
categorical,s10_n8,2,.459994000
categorical,s10_n8,3,.465182000
categorical,s10_n8,4,.463051000
categorical,s10_n8,5,.464426000
categorical,s15_n12,1,.582821000
categorical,s15_n12,2,.586235000
categorical,s15_n12,3,.595615000
categorical,s15_n12,4,.611593000
categorical,s15_n12,5,.595132000
categorical,s15_n3,1,.587169000
categorical,s15_n3,2,.593970000
categorical,s15_n3,3,.583920000
categorical,s15_n3,4,.592487000
categorical,s15_n3,5,.604759000
categorical,s15_n6,1,.579237000
categorical,s15_n6,2,.575523000
categorical,s15_n6,3,.577934000
categorical,s15_n6,4,.606173000
categorical,s15_n6,5,.589544000
categorical,s15_n9,1,.593219000
categorical,s15_n9,2,.576014000
categorical,s15_n9,3,.593807000
categorical,s15_n9,4,.588989000
categorical,s15_n9,5,.588010000
categorical,s20_n12,1,.741429000
