dataset,file,run,time_seconds
categorical,s10_n2,1,.773069000
categorical,s10_n2,2,.455021000
categorical,s10_n2,3,.429846000
categorical,s10_n2,4,.434560000
categorical,s10_n2,5,.436306000
categorical,s10_n4,1,.458057000
categorical,s10_n4,2,.447973000
categorical,s10_n4,3,.427875000
categorical,s10_n4,4,.429973000
categorical,s10_n4,5,.429977000
categorical,s10_n6,1,.430272000
categorical,s10_n6,2,.429597000
categorical,s10_n6,3,.431859000
categorical,s10_n6,4,.433351000
categorical,s10_n6,5,.432877000
categorical,s10_n8,1,.432841000
categorical,s10_n8,2,.437916000
categorical,s10_n8,3,.432750000
categorical,s10_n8,4,.436084000
categorical,s10_n8,5,.433839000
categorical,s15_n12,1,.488696000
categorical,s15_n12,2,.445508000
categorical,s15_n12,3,.446252000
categorical,s15_n12,4,.471743000
categorical,s15_n12,5,.456587000
categorical,s10_n2,1,.744839000
categorical,s10_n2,2,.454939000
categorical,s10_n2,3,.431534000
categorical,s10_n2,4,.429147000
categorical,s10_n2,5,.430635000
categorical,s10_n4,1,.430215000
categorical,s10_n4,2,.432275000
categorical,s10_n4,3,.432403000
categorical,s10_n4,4,.430481000
categorical,s10_n4,5,.432893000
categorical,s10_n6,1,.430355000
categorical,s10_n6,2,.432807000
categorical,s10_n6,3,.431632000
categorical,s10_n6,4,.432025000
categorical,s10_n6,5,.431553000
categorical,s10_n8,1,.433450000
categorical,s10_n8,2,.432626000
categorical,s10_n8,3,.433813000
categorical,s10_n8,4,.439302000
categorical,s10_n8,5,.448646000
categorical,s15_n12,1,.446136000
categorical,s15_n12,2,.448119000
categorical,s15_n12,3,.445238000
categorical,s15_n12,4,.457285000
categorical,s15_n12,5,.457104000
categorical,s15_n3,1,.439994000
categorical,s15_n3,2,.439438000
categorical,s15_n3,3,.458578000
categorical,s15_n3,4,.451704000
categorical,s15_n3,5,.440218000
categorical,s15_n6,1,.445341000
categorical,s15_n6,2,.441363000
categorical,s15_n6,3,.443143000
categorical,s15_n6,4,.440467000
categorical,s15_n6,5,.440827000
categorical,s15_n9,1,.445147000
categorical,s15_n9,2,.445492000
categorical,s15_n9,3,.444765000
categorical,s15_n9,4,.443478000
categorical,s15_n9,5,.444442000
categorical,s20_n12,1,.456479000
categorical,s20_n12,2,.457496000
categorical,s20_n12,3,.455967000
categorical,s20_n12,4,.456742000
categorical,s20_n12,5,.459115000
categorical,s20_n16,1,.493521000
categorical,s20_n16,2,.477622000
categorical,s20_n16,3,.463442000
categorical,s20_n16,4,.464313000
categorical,s20_n16,5,.481325000
categorical,s20_n4,1,.450129000
categorical,s20_n4,2,.447840000
categorical,s20_n4,3,.450026000
categorical,s20_n4,4,.449260000
categorical,s20_n4,5,.448982000
categorical,s20_n8,1,.457210000
categorical,s20_n8,2,.452441000
categorical,s20_n8,3,.454369000
categorical,s20_n8,4,.452838000
categorical,s20_n8,5,.453256000
categorical,s5_n1,1,.419856000
categorical,s5_n1,2,.420649000
categorical,s5_n1,3,.418818000
categorical,s5_n1,4,.419811000
categorical,s5_n1,5,.419126000
categorical,s5_n2,1,.418861000
categorical,s5_n2,2,.419636000
categorical,s5_n2,3,.438859000
categorical,s5_n2,4,.420719000
categorical,s5_n2,5,.421295000
categorical,s5_n3,1,.420154000
categorical,s5_n3,2,.423813000
categorical,s5_n3,3,.428175000
categorical,s5_n3,4,.424320000
categorical,s5_n3,5,.420199000
