test,algorithm,direct comparison,euclidean,manhattan,canberra,jaro-winkler,sorensen-dice,damerau-levenshtein
s5_n1,nexus,,,,,1.0,1.0,1.0
s5_n2,nexus,,,,,1.0,1.0,1.0
s5_n3,nexus,,,,,1.0,1.0,1.0
s10_n2,nexus,,,,,1.0,1.0,1.0
s10_n4,nexus,,,,,1.0,1.0,1.0
s10_n6,nexus,,,,,1.0,1.0,1.0
s10_n8,nexus,,,,,1.0,1.0,1.0
s15_n3,nexus,,,,,1.0,1.0,1.0
s15_n6,nexus,,,,,1.0,1.0,1.0
s15_n9,nexus,,,,,1.0,1.0,1.0
s15_n12,nexus,,,,,1.0,1.0,1.0
s20_n4,nexus,,,,,1.0,1.0,1.0
s20_n8,nexus,,,,,1.0,1.0,1.0
s20_n12,nexus,,,,,1.0,1.0,1.0
s20_n16,nexus,,,,,1.0,1.0,1.0
