test,algorithm,direct comparison,euclidean,manhattan,canberra,jaro-winkler,sorensen-dice,damerau-levenshtein
s5_n1,majority,1.0,,,,,,
s5_n1,truthfinder,0.6,,,,,,
s5_n1,nexus,1.0,,,,,,
s5_n1,crh,1.0,,,,,,
s5_n2,majority,1.0,,,,,,
s5_n2,truthfinder,0.8,,,,,,
s5_n2,nexus,1.0,,,,,,
s5_n2,crh,1.0,,,,,,
s5_n3,majority,1.0,,,,,,
s5_n3,truthfinder,0.6,,,,,,
s5_n3,nexus,1.0,,,,,,
s5_n3,crh,1.0,,,,,,
s5_n4,majority,0.2,,,,,,
s5_n4,truthfinder,0.2,,,,,,
s5_n4,nexus,0.0,,,,,,
s5_n4,crh,0.0,,,,,,
s10_n2,majority,1.0,,,,,,
s10_n2,truthfinder,0.8,,,,,,
s10_n2,nexus,1.0,,,,,,
s10_n2,crh,1.0,,,,,,
s10_n4,majority,1.0,,,,,,
s10_n4,truthfinder,0.4,,,,,,
s10_n4,nexus,1.0,,,,,,
s10_n4,crh,1.0,,,,,,
s10_n6,majority,1.0,,,,,,
s10_n6,truthfinder,0.4,,,,,,
s10_n6,nexus,1.0,,,,,,
s10_n6,crh,1.0,,,,,,
s10_n9,majority,0.0,,,,,,
s10_n9,truthfinder,0.2,,,,,,
s10_n9,nexus,0.2,,,,,,
s10_n9,crh,0.0,,,,,,
s15_n3,majority,1.0,,,,,,
s15_n3,truthfinder,0.6,,,,,,
s15_n3,nexus,1.0,,,,,,
s15_n3,crh,1.0,,,,,,
s15_n6,majority,1.0,,,,,,
s15_n6,truthfinder,0.4,,,,,,
s15_n6,nexus,1.0,,,,,,
s15_n6,crh,1.0,,,,,,
s15_n9,majority,1.0,,,,,,
s15_n9,truthfinder,0.4,,,,,,
s15_n9,nexus,1.0,,,,,,
s15_n9,crh,1.0,,,,,,
s15_n13,majority,1.0,,,,,,
s15_n13,truthfinder,0.2,,,,,,
s15_n13,nexus,0.2,,,,,,
s15_n13,crh,1.0,,,,,,
s20_n4,majority,1.0,,,,,,
s20_n4,truthfinder,0.4,,,,,,
s20_n4,nexus,1.0,,,,,,
s20_n4,crh,1.0,,,,,,
s20_n8,majority,1.0,,,,,,
s20_n8,truthfinder,1.0,,,,,,
s20_n8,nexus,1.0,,,,,,
s20_n8,crh,1.0,,,,,,
s20_n12,majority,1.0,,,,,,
s20_n12,truthfinder,0.6,,,,,,
s20_n12,nexus,1.0,,,,,,
s20_n12,crh,1.0,,,,,,
s20_n18,majority,1.0,,,,,,
s20_n18,truthfinder,0.4,,,,,,
s20_n18,nexus,0.0,,,,,,
s20_n18,crh,1.0,,,,,,
