test,algorithm,direct comparison,euclidean,manhattan,canberra,jaro-winkler,sorensen-dice,damerau-levenshtein
s5_n1,majority,,1.0,1.0,1.0,,,
s5_n1,truthfinder,,0.9724137931034482,0.9724137931034482,0.9851851851879286,,,
s5_n1,nexus,,1.0,1.0,1.0,,,
s5_n1,crh,,0.9985866338508743,0.9985866338508743,0.9992928171714235,,,
s5_n2,majority,,1.0,1.0,1.0,,,
s5_n2,truthfinder,,0.9825108225108226,0.9825108225108226,0.9910407239832388,,,
s5_n2,nexus,,1.0,1.0,1.0,,,
s5_n2,crh,,0.9957910628423159,0.9957910628423159,0.9978910932935781,,,
s5_n3,majority,,1.0,1.0,1.0,,,
s5_n3,truthfinder,,0.9454545454545454,0.9454545454545454,0.9711166253148094,,,
s5_n3,nexus,,1.0,1.0,1.0,,,
s5_n3,crh,,0.9900197730150726,0.9900197730150726,0.994984860392474,,,
s5_n4,majority,,0.959047619047619,0.959047619047619,0.9783068783108011,,,
s5_n4,truthfinder,,0.9656410256410256,0.9656410256410256,0.9817927170901547,,,
s5_n4,nexus,,0.9285714285714286,0.9285714285714286,0.9629629629698216,,,
s5_n4,crh,,0.9285714285714286,0.9285714285714286,0.9629629629698216,,,
s10_n2,majority,,1.0,1.0,1.0,,,
s10_n2,truthfinder,,1.0,1.0,1.0,,,
s10_n2,nexus,,1.0,1.0,1.0,,,
s10_n2,crh,,0.9975796464099689,0.9975796464099689,0.9987883569028199,,,
s10_n4,majority,,1.0,1.0,1.0,,,
s10_n4,truthfinder,,0.9092165898617511,0.9092165898617511,0.9506148222094795,,,
s10_n4,nexus,,1.0,1.0,1.0,,,
s10_n4,crh,,0.9961932070644188,0.9961932070644188,0.9980929737054356,,,
s10_n6,majority,,1.0,1.0,1.0,,,
s10_n6,truthfinder,,0.9399078341013825,0.9399078341013825,0.9684078534950703,,,
s10_n6,nexus,,1.0,1.0,1.0,,,
s10_n6,crh,,0.9828723904704719,0.9828723904704719,0.9913622230009871,,,
s10_n9,majority,,0.9406006674082313,0.9406006674082313,0.9691347011649729,,,
s10_n9,truthfinder,,0.9585878489326766,0.9585878489326766,0.9788131771472282,,,
s10_n9,nexus,,0.9462068965517242,0.9462068965517242,0.9722928009727354,,,
s10_n9,crh,,0.9360974065092875,0.9360974065092875,0.9669941226795546,,,
s15_n3,majority,,1.0,1.0,1.0,,,
s15_n3,truthfinder,,0.9714285714285714,0.9714285714285714,0.9846153846183432,,,
s15_n3,nexus,,1.0,1.0,1.0,,,
s15_n3,crh,,0.9952481213342169,0.9952481213342169,0.9976184021354924,,,
s15_n6,majority,,1.0,1.0,1.0,,,
s15_n6,truthfinder,,0.9549034749034749,0.9549034749034749,0.9761612783387499,,,
s15_n6,nexus,,1.0,1.0,1.0,,,
s15_n6,crh,,0.9918832768665639,0.9918832768665639,0.9959251010204525,,,
s15_n9,majority,,1.0,1.0,1.0,,,
s15_n9,truthfinder,,0.9129411764705883,0.9129411764705883,0.9534283513174938,,,
s15_n9,nexus,,1.0,1.0,1.0,,,
s15_n9,crh,,0.9743554777998185,0.9743554777998185,0.9870111930276403,,,
s15_n13,majority,,0.8857142857142857,0.8857142857142857,0.9393939394031221,,,
s15_n13,truthfinder,,0.9330158730158731,0.9330158730158731,0.9647193304803997,,,
s15_n13,nexus,,0.9944444444444445,0.9944444444444445,0.9971830985919461,,,
s15_n13,crh,,0.9877529359179061,0.9877529359179061,0.9938387392824051,,,
s20_n4,majority,,1.0,1.0,1.0,,,
s20_n4,truthfinder,,0.9818181818181818,0.9818181818181818,0.9904761904777022,,,
s20_n4,nexus,,1.0,1.0,1.0,,,
s20_n4,crh,,0.9985718312846259,0.9985718312846259,0.9992854053615676,,,
s20_n8,majority,,1.0,1.0,1.0,,,
s20_n8,truthfinder,,0.9923076923076923,0.9923076923076923,0.996078431373318,,,
s20_n8,nexus,,1.0,1.0,1.0,,,
s20_n8,crh,,0.9951252674547504,0.9951252674547504,0.9975566784583426,,,
s20_n12,majority,,1.0,1.0,1.0,,,
s20_n12,truthfinder,,0.9307400379506642,0.9307400379506642,0.9630558796009059,,,
s20_n12,nexus,,1.0,1.0,1.0,,,
s20_n12,crh,,0.9944263346595473,0.9944263346595473,0.9972053791896492,,,
s20_n18,majority,,0.9628787878787879,0.9628787878787879,0.9810515873045795,,,
s20_n18,truthfinder,,0.8887296692870696,0.8887296692870696,0.9403856961850862,,,
s20_n18,nexus,,0.96875,0.96875,0.9841269841295036,,,
s20_n18,crh,,0.9649212479039141,0.9649212479039141,0.9821475022838959,,,
