test,algorithm,direct comparison,euclidean,manhattan,canberra,jaro-winkler,sorensen-dice,damerau-levenshtein
s5_n1,truthfinder,0.2,1.0,1.0,1.0,0.9695652173913043,0.9333333333333333,0.9199999999999999
s5_n1,nexus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s5_n1,crh,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s5_n2,truthfinder,0.6,0.9645320197044335,0.9645320197044335,0.9811066126891342,0.8793306740010808,0.8587234042553191,0.807258064516129
s5_n2,nexus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s5_n2,crh,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s5_n3,truthfinder,0.0,0.9542857142857143,0.9542857142857143,0.9757575757612489,0.8992222222222223,0.8846258503401361,0.807
s5_n3,nexus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s5_n3,crh,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s10_n2,truthfinder,0.8,1.0,1.0,1.0,1.0,1.0,1.0
s10_n2,nexus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s10_n2,crh,1.0,0.9696969696969697,0.9696969696969697,0.9846153846177514,1.0,1.0,1.0
s10_n4,truthfinder,0.8,0.9888888888888889,0.9888888888888889,0.9942857142865306,0.9902666666666666,0.9755102040816327,0.968
s10_n4,nexus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s10_n4,crh,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s10_n6,truthfinder,0.4,1.0,1.0,1.0,0.7653767917668847,0.672621482854041,0.5489140800719748
s10_n6,nexus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s10_n6,crh,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s10_n8,truthfinder,0.4,0.9772079772079773,0.9772079772079773,0.9882264150966517,0.8164206982101719,0.7556124545598231,0.679611908559277
s10_n8,nexus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s10_n8,crh,1.0,0.9615384615384616,0.9615384615384616,0.9803921568665898,1.0,1.0,1.0
s15_n3,truthfinder,1.0,1.0,1.0,1.0,0.9773970443349753,0.9754385964912281,0.9517241379310345
s15_n3,nexus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s15_n3,crh,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s15_n6,truthfinder,0.8,0.9377880184331797,0.9377880184331797,0.9670384856886074,0.8777483164983165,0.8817777777777778,0.8215277777777779
s15_n6,nexus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s15_n6,crh,1.0,0.9642857142857143,0.9642857142857143,0.9818181818214876,1.0,1.0,1.0
s15_n9,truthfinder,0.0,0.9280172413793103,0.9280172413793103,0.9614599443309421,0.8270899470899472,0.795,0.7357142857142858
s15_n9,nexus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s15_n9,crh,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s15_n12,truthfinder,0.0,0.9062908496732026,0.9062908496732026,0.9506250359457702,0.8611012810219785,0.8324359738805427,0.7443349753694581
s15_n12,nexus,1.0,0.99375,0.99375,0.9968253968259008,1.0,1.0,1.0
s15_n12,crh,1.0,0.96875,0.96875,0.9841269841295036,1.0,1.0,1.0
s20_n4,truthfinder,0.8,1.0,1.0,1.0,0.9542240084439573,0.9545454545454545,0.9391304347826086
s20_n4,nexus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s20_n4,crh,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s20_n8,truthfinder,0.4,0.975,0.975,0.9866666666688889,0.9902857142857144,0.975609756097561,0.9714285714285715
s20_n8,nexus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s20_n8,crh,1.0,0.96875,0.96875,0.9841269841295036,1.0,1.0,1.0
s20_n12,truthfinder,0.6,0.94375,0.94375,0.9697175141293888,0.9062817173653087,0.8590543927386033,0.8095906432748539
s20_n12,nexus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s20_n12,crh,1.0,0.96875,0.96875,0.9841269841295036,1.0,1.0,1.0
s20_n16,truthfinder,0.0,0.9141666666666667,0.9141666666666667,0.9541843029131902,0.8240916371957562,0.7474013118664281,0.6457971014492754
s20_n16,nexus,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s20_n16,crh,1.0,1.0,1.0,1.0,1.0,1.0,1.0
