Algorithm,Accuracy
TruthFinder,97.4914
TruthFinder,97.1173
TruthFinder,92.9856
TruthFinder,100.0000
TruthFinder,99.4606
TruthFinder,95.4921
TruthFinder,90.3779
TruthFinder,95.6502
TruthFinder,97.9672
TruthFinder,93.6492
TruthFinder,94.7588
TruthFinder,98.7559
TruthFinder,94.0041
TruthFinder,95.9610
TruthFinder,94.1709
CRH,96.9019
CRH,97.6121
CRH,97.5417
CRH,100.0000
CRH,100.0000
CRH,96.7823
CRH,100.0000
CRH,96.7823
CRH,97.4670
CRH,100.0000
CRH,97.0130
CRH,100.0000
CRH,96.6531
CRH,97.6121
CRH,96.7823
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,99.3565
