Algorithm,Accuracy
TruthFinder,86.0414
TruthFinder,86.5069
TruthFinder,78.2168
TruthFinder,97.1429
TruthFinder,95.7977
TruthFinder,76.9559
TruthFinder,79.9184
TruthFinder,98.6366
TruthFinder,88.9095
TruthFinder,73.9328
TruthFinder,74.3011
TruthFinder,94.9700
TruthFinder,89.6284
TruthFinder,86.1735
TruthFinder,71.4258
TruthFinder,80.0000
TruthFinder,60.0000
TruthFinder,20.0000
TruthFinder,100.0000
TruthFinder,60.0000
TruthFinder,20.0000
TruthFinder,40.0000
TruthFinder,100.0000
TruthFinder,20.0000
TruthFinder,20.0000
TruthFinder,40.0000
TruthFinder,100.0000
TruthFinder,100.0000
TruthFinder,40.0000
TruthFinder,20.0000
TruthFinder,97.4914
TruthFinder,97.1173
TruthFinder,92.9856
TruthFinder,100.0000
TruthFinder,99.4606
TruthFinder,95.4921
TruthFinder,90.3779
TruthFinder,95.6502
TruthFinder,97.9672
TruthFinder,93.6492
TruthFinder,94.7588
TruthFinder,98.7559
TruthFinder,94.0041
TruthFinder,95.9610
TruthFinder,94.1709
TruthFinder,100.0000
TruthFinder,95.1762
TruthFinder,94.8249
TruthFinder,100.0000
TruthFinder,93.9161
TruthFinder,89.8548
TruthFinder,57.2766
TruthFinder,95.3428
TruthFinder,82.6672
TruthFinder,73.3628
TruthFinder,91.4706
TruthFinder,100.0000
TruthFinder,80.8929
TruthFinder,89.6311
TruthFinder,83.7969
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,98.9144
CRH,100.0000
CRH,100.0000
CRH,98.6210
CRH,100.0000
CRH,98.7199
CRH,100.0000
CRH,98.8804
CRH,100.0000
CRH,98.8804
CRH,98.8804
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,96.9019
CRH,97.6121
CRH,97.5417
CRH,100.0000
CRH,100.0000
CRH,96.7823
CRH,100.0000
CRH,96.7823
CRH,97.4670
CRH,100.0000
CRH,97.0130
CRH,100.0000
CRH,96.6531
CRH,97.6121
CRH,96.7823
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,99.7761
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,99.3565
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
