Algorithm,Accuracy
TruthFinder,86.0414
TruthFinder,86.5069
TruthFinder,78.2168
TruthFinder,97.1429
TruthFinder,95.7977
TruthFinder,76.9559
TruthFinder,79.9184
TruthFinder,98.6366
TruthFinder,88.9095
TruthFinder,73.9328
TruthFinder,74.3011
TruthFinder,94.9700
TruthFinder,89.6284
TruthFinder,86.1735
TruthFinder,71.4258
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,98.9144
CRH,100.0000
CRH,100.0000
CRH,98.6210
CRH,100.0000
CRH,98.7199
CRH,100.0000
CRH,98.8804
CRH,100.0000
CRH,98.8804
CRH,98.8804
CRH,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,99.7761
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
