Algorithm,Accuracy
TruthFinder,100.0000
TruthFinder,95.1762
TruthFinder,94.8249
TruthFinder,100.0000
TruthFinder,93.9161
TruthFinder,89.8548
TruthFinder,57.2766
TruthFinder,95.3428
TruthFinder,82.6672
TruthFinder,73.3628
TruthFinder,91.4706
TruthFinder,100.0000
TruthFinder,80.8929
TruthFinder,89.6311
TruthFinder,83.7969
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
CRH,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
Nexus,100.0000
